text,label
i noticed several months ago that i d start feeling resentful as i walked toward a pedestrian crossing with the intention of course of crossing the road,3
i love lots of different kinds of sports and love hanging out with my friends in my free time i also have an unhealthy up session with greys anatomy im feeling ecstatic about being in ty,1
i feel even if he killed himself it was because he was agonized to that extent,0
i feel numb the way a wound does before it really starts to hurt,0
i feel very happy to have inspired is my little sis love of reading and writing,1
i began to feel unimportant useless insecure and i was disconnected from everything that i used to know,0
being subject to unfair treatment in a working group,3
ive been feeling restless inside and i dont understand why,4
i cant feel anything like they said why does everything always hurt so bad,0
i was feeling wednesday night so i wasn t thrilled to be in training again ha,1
i don t always feel joyful and i quite often throw prayer out the window,1
i want to feel happy,1
i was feeling a bit nostalgic and typed all this up literally without thinking about what i was writing,2
i meet up with the team i don t feel welcomed or accepted,1
i feel i should probably move on to the meat of my story before i get too distracted by the side dishes what happened to good music,3
i even feel surprised if its dark outside,5
i miss not feeling exhausted after being outside in the heat for minutes,0
i told him well that just makes me feel really unimportant that you cant make the effort to get it straight,0
i feel it is too dangerous to invest in such markets,3
i feel empty when the baby isnt there,0
i go off to sleep and i say i m feeling exhausted and suddenly i go into thoughts about how i m working too hard how i can never get the balance right how i feel like it s all too hard etc i go into a whole story about my life where everything seems overwhelming,0
i am back working with confidence and feeling terrific,1
i did enjoy the book however and i especially liked the characters of the brothers one fired up with the detectin spirit and the other feeling skeptical but willing to back his brother in a fight,4
im feeling nostalgic about listening to this kind of music again,2
im also pretty close to just exiting out of the window because i feel like this makes me look freakishly neurotic,4
i thought i would miss feeling useful,1
i miss our talks our cuddling our kissing and the feelings that you can only share with your beloved,2
im feeling punished for having loved the previous books,0
i like to think i present myself and the life and times of the working mum to a good standard and if i ever do miss a apostrophe or miss spell a particular word please feel free to call me on it,1
i feel like he counted my letter as one supporting the current status quo which to say the least is not what i stated,1
i feel a sense of loss when an extremely talented and passionate engineer who wants to work on certain dsp design eventually takes up a job at a financial number crunching software company only because he did not get the right kind of job,1
i feel confident that you and i have something solid,1
ive been disregarded devalued or heartbroken or when i am between boyfriends and in need of someone to make me feel valued attractive loved and adored i have certain men i call,1
i can still feel my legs and they get so cold,3
i am feeling soooo eco friendly,1
i don t feel you all the time and you re not always on my mind but i ve got you from time to time and i know the divine yes i know the divine it all began at mount sinai,1
i was feeling annoyed suddenly,3
im feeling a little less jaded,0
